Category,Access_No,Title,Authors,Asset_Code,Department,Subject,Edition,Date_Year,Call_No,Publisher,Place,ISBN,Price,Bill_Date,Vendor,Pages
Books,11,Macroeconomics in context,"Goodwin, Neva R.",RVUN21LB0011,School of Economics,Economics,2nd Ed,2014,339 GOO,Routledge,New York,9781315702735,3295,10/29/2021 0:00,Book Paradise,"xxiv, 688"
Books,12,Macroeconomics in context,"Goodwin, Neva R.",RVUN21LB0012,School of Economics,Economics,2nd Ed,2014,339 GOO,Routledge,New York,9781315702735,3295,10/29/2021 0:00,Book Paradise,"xxiv, 688"
Books,13,Economic development,"Michael, Todaro.",RVUN21LB0013,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,14,Economic development,"Michael, Todaro.",RVUN21LB0014,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,15,Economic development,"Michael, Todaro.",RVUN21LB0015,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,16,Economic development,"Michael, Todaro.",RVUN21LB0016,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,17,Economic development,"Michael, Todaro.",RVUN21LB0017,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,18,Economic development,"Michael, Todaro.",RVUN21LB0018,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,19,Economic development,"Michael, Todaro.",RVUN21LB0019,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,20,Economic development,"Michael, Todaro.",RVUN21LB0020,School of Economics,Economics,12th Ed,2017,338.90091724 TOD,Pearson Education,Noida,978-9332585539,749,10/29/2021 0:00,Book Paradise,"xxvii,860"
Books,21,International economics,"Appleyard, Dennis R.",RVUN21LB0021,School of Economics,Economics,8th Ed,2013,337 APP,Mcgrawhill,Chennai,9781259097423,925,10/29/2021 0:00,Book Paradise,"xxiv,824"
Books,22,International economics,"Appleyard, Dennis R.",RVUN21LB0022,School of Economics,Economics,8th Ed,2013,337 APP,Mcgrawhill,Chennai,9781259097423,925,10/29/2021 0:00,Book Paradise,"xxiv,824"
Books,23,International trade: theory and policy,"Krugman, Paul R.",RVUN21LB0023,School of Economics,Commerce and communications,10th Ed,2017,382 KRU,Pearson Education,Noida,978-9332585768,489,10/29/2021 0:00,Book Paradise,368
Books,24,International trade: theory and policy,"Krugman, Paul R.",RVUN21LB0024,School of Economics,Commerce and communications,10th Ed,2017,382 KRU,Pearson Education,Noida,978-9332585768,489,10/29/2021 0:00,Book Paradise,368
Books,25,Financial services,"Khan, M . Y.",RVUN21LB0025,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,26,Financial services,"Khan, M . Y.",RVUN21LB0026,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,27,Financial services,"Khan, M . Y.",RVUN21LB0027,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,28,Financial services,"Khan, M . Y.",RVUN21LB0028,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,29,Financial services,"Khan, M . Y.",RVUN21LB0029,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,30,Financial services,"Khan, M . Y.",RVUN21LB0030,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,31,Financial services,"Khan, M . Y.",RVUN21LB0031,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,32,Financial services,"Khan, M . Y.",RVUN21LB0032,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,33,Financial services,"Khan, M . Y.",RVUN21LB0033,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,34,Financial services,"Khan, M . Y.",RVUN21LB0034,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,35,Financial services,"Khan, M . Y.",RVUN21LB0035,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,36,Financial services,"Khan, M . Y.",RVUN21LB0036,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,37,Financial services,"Khan, M . Y.",RVUN21LB0037,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,38,Financial services,"Khan, M . Y.",RVUN21LB0038,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,39,Financial services,"Khan, M . Y.",RVUN21LB0039,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,40,Financial services,"Khan, M . Y.",RVUN21LB0040,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,41,Financial services,"Khan, M . Y.",RVUN21LB0041,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,42,Financial services,"Khan, M . Y.",RVUN21LB0042,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,43,Financial services,"Khan, M . Y.",RVUN21LB0043,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,44,Financial services,"Khan, M . Y.",RVUN21LB0044,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,45,Financial services,"Khan, M . Y.",RVUN21LB0045,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,46,Financial services,"Khan, M . Y.",RVUN21LB0046,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,47,Financial services,"Khan, M . Y.",RVUN21LB0047,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,48,Financial services,"Khan, M . Y.",RVUN21LB0048,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,49,Financial services,"Khan, M . Y.",RVUN21LB0049,School of Economics,Economics,10th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167325,795,10/29/2021 0:00,Book Paradise,"xx,14.54"
Books,50,Indian financial system,"Khan, M . Y.",RVUN21LB0050,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,51,Indian financial system,"Khan, M . Y.",RVUN21LB0051,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,52,Indian financial system,"Khan, M . Y.",RVUN21LB0052,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,53,Indian financial system,"Khan, M . Y.",RVUN21LB0053,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,54,Indian financial system,"Khan, M . Y.",RVUN21LB0054,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,55,Indian financial system,"Khan, M . Y.",RVUN21LB0055,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,56,Indian financial system,"Khan, M . Y.",RVUN21LB0056,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,57,Indian financial system,"Khan, M . Y.",RVUN21LB0057,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,58,Indian financial system,"Khan, M . Y.",RVUN21LB0058,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,59,Indian financial system,"Khan, M . Y.",RVUN21LB0059,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,60,Indian financial system,"Khan, M . Y.",RVUN21LB0060,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,61,Indian financial system,"Khan, M . Y.",RVUN21LB0061,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,62,Indian financial system,"Khan, M . Y.",RVUN21LB0062,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,63,Indian financial system,"Khan, M . Y.",RVUN21LB0063,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,64,Indian financial system,"Khan, M . Y.",RVUN21LB0064,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,65,Indian financial system,"Khan, M . Y.",RVUN21LB0065,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,66,Indian financial system,"Khan, M . Y.",RVUN21LB0066,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,67,Indian financial system,"Khan, M . Y.",RVUN21LB0067,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,68,Indian financial system,"Khan, M . Y.",RVUN21LB0068,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,69,Indian financial system,"Khan, M . Y.",RVUN21LB0069,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,70,Indian financial system,"Khan, M . Y.",RVUN21LB0070,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,71,Indian financial system,"Khan, M . Y.",RVUN21LB0071,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,72,Indian financial system,"Khan, M . Y.",RVUN21LB0072,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,73,Indian financial system,"Khan, M . Y.",RVUN21LB0073,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,74,Indian financial system,"Khan, M . Y.",RVUN21LB0074,School of Economics,Economics,11th Ed,2019,332.10954 KHA,Mcgrawhill,Chennai,9789353167301,795,10/29/2021 0:00,Book Paradise,"xv,19.37"
Books,75,A brief history of a civilization,"Arora, Namit",RVUN21LB0075,School of Liberal art and sciences,History,,2021,934 ARO,Penguin Viking,Gurugram,978-0670090433,1250,10/25/2021 0:00,Book Paradise,"xv,304"
Books,76,The wonder that was india,"Basham, A. L.",RVUN21LB0076,School of Liberal art and sciences,History,,2019,954 BAS,Picador India,New Delhi,978-9389109344,599,10/25/2021 0:00,Book Paradise,"xv,304"
Books,77,The wonder that was india,"Basham, A. L.",RVUN21LB0077,School of Liberal art and sciences,History,,2019,954 BAS,Picador India,New Delhi,978-9389109344,599,10/25/2021 0:00,Book Paradise,"xv,304"
Books,78,The valmiki ramayana volume 1,"Debroy,  Bibek",RVUN21LB0078,School of Liberal art and sciences,Religions,,2017,294.5922 DED,Penguin Random House India,Gurugram,978-0143441144,566.33,10/25/2021 0:00,Book Paradise,"xv,19.37"
Books,79,The valmiki ramayana volume 2,"Debroy,  Bibek",RVUN21LB0079,School of Liberal art and sciences,Religions,,2017,294.5922 DED,Penguin Random House India,Gurugram,978-0143441144,566.33,10/25/2021 0:00,Book Paradise,"xv,19.37"
Books,80,The valmiki ramayana volume 3,"Debroy,  Bibek",RVUN21LB0080,School of Liberal art and sciences,Religions,,2017,294.5922 DED,Penguin Random House India,Gurugram,978-0143441144,566.33,10/25/2021 0:00,Book Paradise,"xv,19.37"
Books,81,Mahabharata,"Buck, William",RVUN21LB0081,School of Liberal art and sciences,Fiction,,2019,813.54 BUC,Aleph Book Company,New Delhi,978-9388292726,499,10/25/2021 0:00,Book Paradise,"xix, 299"
Books,82,Modern indian political thought,"Chakrabarty, Bidyut",RVUN21LB0082,School of Liberal art and sciences,Political science,1st ed.,2008,320.0954 CHA,SAGE Texts,New Delhi,9788178298818,575,10/25/2021 0:00,Book Paradise,"xi, 430"
Books,83,Reconceptualizing indian democracy: the changing electorate,"Chakrabarty, Bidyut",RVUN21LB0083,School of Liberal art and sciences,Political science,1st ed.,2020,320.954 CHA,Sage Publications Pvt. Ltd,New Delhi,978-9353882730,1195,10/25/2021 0:00,Book Paradise,"xv, 263"
Books,84,"Indian constitution: text, context and interpretation","Chakrabarty, Bidyut",RVUN21LB0084,School of Liberal art and sciences,Political science,1st ed.,2017,342.5402 CHA,Sage Publications India Private Limited,New Delhi,9789352805006,475,10/25/2021 0:00,Book Paradise,"xvi, 373"
Books,85,History of medieval India,"Chandra,Satish",RVUN21LB0085,School of Liberal art and sciences,History,1st ed.,2017,934.01 CHA,Orient Blackswan,Hyderabad,9789390122512,450,10/25/2021 0:00,Book Paradise,"viii, 418"
Books,86,"The partha chatterjee omnibus: comprising nationalist thought and the colonial world, the",Chatterjee Partha,RVUN21LB0086,School of Liberal art and sciences,Political science,,1999,320.540954 CHA,Oxford University Press,New Delhi,9780195651560,1595,10/25/2021 0:00,Book Paradise,"x, 301"
Books,87,A history of state and religion in india,"CoplandˇIan., Mabbett Ian,   Roy Asim, Brittlebank Kate and Bowles, Adam",RVUN21LB0087,School of Liberal art and sciences,Religion,1st ed.,2012,211.609540904 COP,Routledge,New York,9781138844612,4168,10/25/2021 0:00,Book Paradise,"ix, 337"
Books,88,India in the persianate age: 1000-1765,Eaton Richard M.,RVUN21LB0088,School of Liberal art and sciences,History,,2020,954.02 EAT,Penguin Random House,gurugram,978-0141985398,1389,10/25/2021 0:00,Book Paradise,"xiv, 488"
Books,89,India since 1980,Ganguly Sumit  and  Mukherji Rahul,RVUN21LB0089,School of Liberal art and sciences,History,,2011,954.05 GAN,Cambridge University Press,Delhi,978-0521678049,2137,10/25/2021 0:00,Book Paradise,"xii, 201"
Books,90,The indian constitution: cornerstone of a nation,"Granville, Austin",RVUN21LB0090,School of Liberal art and sciences,Constitution and administration law,,1999,342.5409 AUS,Oxford University Press,New Delhi,9780195649598,475,10/25/2021 0:00,Book Paradise,"xix,488"
Books,91,India after gandhi: the history of the world's largest democracy,"Guha, Ramachandra",RVUN21LB0091,School of Liberal art and sciences,History,,2017,954.04 GUH,Picador India,New Delhi,9789382616979,799,10/25/2021 0:00,Book Paradise,"xxxiv, 919"
Books,92,Makers of modern india,"Guha, Ramachandra",RVUN21LB0092,School of Liberal art and sciences,History,,2012,954.0099 GUH,Penguin India,Gurugram,978-0143419242,599,10/25/2021 0:00,Book Paradise,"xiii, 549"
Books,93,The oxford companion to politics in india,"Jayal, Niraja Gopal and Mehta, Pratap Bhanu",RVUN21LB0093,School of Liberal art and sciences,Constitution and administration law,,2011,342.5029 JAY,Oxford University Press,New Delhi,978-0198075929,695,10/25/2021 0:00,Book Paradise,"xxxii, 618"
Books,94,The oxford companion to politics in india,"Jayal, Niraja Gopal and Mehta, Pratap Bhanu",RVUN21LB0094,School of Liberal art and sciences,Constitution and administration law,,2011,342.5029 JAY,Oxford University Press,New Delhi,978-0198075929,695,10/25/2021 0:00,Book Paradise,"xxxii, 618"
Books,95,India?s founding moment : the constitution of a most surprising democracy,"Khosla, Madhav",RVUN21LB0095,School of Liberal art and sciences,Constitutional and administration law,,,342.54 KHO,Harvard University Press,London,978-0674247987,599,10/25/2021 0:00,Book Paradise,215
Books,96,Gender and politics in india: themes in politics,"Nivedita, Menon",RVUN21LB0096,School of Liberal art and sciences,Political science,,2001,323.340954 NIE,Oxford University Press India,New Delhi,9780195658934,720,10/25/2021 0:00,Book Paradise,"xi, 539"
Books,97,"Wanderers, kings, merchants: the story of india through its languages","Peggy, Mohan",RVUN21LB0097,School of Liberal art and sciences,Languages,,2021,491.1 PEG,Penguin,Gurugram,978-0670093687,599,10/25/2021 0:00,Book Paradise,"xvii,341"
Books,98,The discovery of india,"Nehru, Jawaharlal",RVUN21LB0098,School of Liberal art and sciences,History,,2008,954 NEH,Penguin India,Gurugram,978-0143031031,699,10/25/2021 0:00,Book Paradise,"xxvi, 642"
Books,99,Indian democracy,"Palshikar, Suhas",RVUN21LB0099,School of Liberal art and sciences,Political science,1st ed.,2017,320.954 PAL,Oxford University Press India,New Delhi,978-0199479603,375,10/25/2021 0:00,Book Paradise,"xiv, 194"
Books,100,Electoral politics in India: the resurgence of the bharatiya janata party,"Palshikar, Suhas",RVUN21LB0100,School of Liberal art and sciences,Political science,1st ed.,2017,324.954053 PAL,Routledge India,,978-1138201941,0,10/25/2021 0:00,Book Paradise,312
Books,101,Political thought in modern india,"Pantham, Thomas.",RVUN21LB0101,School of Liberal art and sciences,Political science,1st ed.,1986,320.50954 PAT,Sage India,New Delhi,978-0803995048,695,10/25/2021 0:00,Book Paradise,"vi, 354"
Books,102,Gandhi's political philosophy: a critical examination,"Parekh, Bhikhu C.",RVUN21LB0102,School of Liberal art and sciences,History,,1991,954.0350924 PAR,Palgrave macmillan,London,978-0333547656,6390,10/25/2021 0:00,Book Paradise,"ix, 248"
Books,103,Indian political thought,"Roy, Himanshu.",RVUN21LB0103,School of Liberal art and sciences,Political science,2nd ed.,2017,320.954 ROY,Pearson education,Noida,978-9332587335,395,10/25/2021 0:00,Book Paradise,"xxxi, 504"
Books,104,The incredible history of the indian ocean,"Sanjeev, Sanyal.",RVUN21LB0104,School of Liberal art and sciences,History,1st ed.,2020,909.09824 SAN,Puffin,Gurugram,978-0143446019,250,10/25/2021 0:00,Book Paradise,"xii, 298"
Books,105,The indian rennaissance: india's rise after a thousand years of decline,"Sanjeev, Sanyal.",RVUN21LB0105,School of Liberal art and sciences,Economics,,2015,330.954 SAN,Penguin,Gurugram,978-0143425137,399,10/25/2021 0:00,Book Paradise,"vii, 230"
Books,106,"The argumentative indian: writings on indianhistory, culture and identity","Sen, Amartya.",RVUN21LB0106,School of Liberal art and sciences,History,1st ed.,2006,954 SEN,Penguin,New Delhi,978-0141012117,1791,10/25/2021 0:00,Book Paradise,"xx, 409"
Books,107,India's ancient past,Sharma R.S.,RVUN21LB0107,School of Liberal art and sciences,History,,2006,934 SHA,Oxford university press,New Delhi,978-0195687859,395,10/25/2021 0:00,Book Paradise,"xi, 387"
Books,108,Federalism in south asia,"Singh, Mahendra Prasad,",RVUN21LB0108,School of Liberal art and sciences,History,1st ed.,2016,967.73053 SIN,Routledge India,Ghaziabad,9781138660199,995,10/25/2021 0:00,Book Paradise,"xii,264"
Books,109,The penguin history of early india:from the origins to AD 1300,"Thapar, Romila.",RVUN21LB0109,School of Liberal art and sciences,History,1st ed.,2003,954 THA,Penguin India,Gurgaon,9780143029892,399,10/25/2021 0:00,Book Paradise,"xxx, 556"
Books,110,"Immortal india: young country, timeless civilisation, non-fiction, amish explores ideas th","Tripathi, Amish.",RVUN21LB0110,School of Liberal art and sciences,History,,2017,954 TRI,Westland,New Delhi,9788193432006,275,10/25/2021 0:00,Book Paradise,"xxv, 188"
Books,111,"The great hindu civilisation: achievement, neglect, bias and the way forward","Verma,  Pavan K.",RVUN21LB0111,School of Liberal art and sciences,History,,2021,934 VER,Westland,Chennai,978939-0679966,799,10/25/2021 0:00,Book Paradise,403
Books,112,Spillover ? animal infections and the next human pandemic,"Quammen, David .",RVUN21LB0112,School of Liberal Arts,Medical sciences,,2013,614.43 QUA,W. W. norton & company,London,978-0393346619,599,10/25/2021 0:00,Book Paradise,591p.
Books,113,Spillover ? animal infections and the next human pandemic,"Quammen, David .",RVUN21LB0113,School of Liberal Arts,Medical sciences,,2013,614.43 QUA,W. W. norton & company,,978-0393346619,599,10/25/2021 0:00,Book Paradise,591p.
Books,114,Covid-19: separating fact from fiction,"Mahapatra, Anirban .",RVUN21LB0114,School of Liberal Arts,Medical sciences,,2021,616.2414 MAH,Viking,Gurgaon,9780670094370,599,10/25/2021 0:00,Book Paradise,250p.
Books,115,Covid-19: separating fact from fiction,"Mahapatra, Anirban .",RVUN21LB0115,School of Liberal Arts,Medical sciences,,2021,616.2414 MAH,Viking,Gurgaon,978-0670094370,599,10/25/2021 0:00,Book Paradise,250p.
Books,116,"Nature in the city: bengaluru in the past, present, and future","Nagendra, Harini .",RVUN21LB0116,School of Liberal art and sciences,Natural sciences,1st Ed,2016,508.95487 HAR,Oxford university press,New Delhi,978-0199465927,450,10/25/2021 0:00,Book Paradise,"xvii, 224p."
Books,117,"Nature in the city: bengaluru in the past, present, and future","Nagendra, Harini .",RVUN21LB0117,School of Liberal art and sciences,Natural sciences,1st Ed,2016,508.95487 HAR,Oxford university press,New Delhi,978-0199465927,450,10/25/2021 0:00,Book Paradise,"xvii, 224p."
Books,118,Democratizing forest governance in india,"Lele, Sharachchandra and  Menon, Ajit.",RVUN21LB0118,School of Liberal art and sciences,Public administration,1st Ed,2014,354.550954 LEL,Oxford university press,New Delhi,978-0198099123,895,10/25/2021 0:00,Book Paradise,"xiv, 432p."
Books,119,A frayed history: the journey of cotton in india,Meena Menon and  Uzramma,RVUN21LB0119,School of Liberal Arts,Commerce and communications,1st Ed,2017,381.413510954 MEE,OUP India,New Delhi,9780199474639,750,10/25/2021 0:00,Book Paradise,"xxxiv, 383p."
Books,120,A frayed history: the journey of cotton in india,Meena Menon and  Uzramma,RVUN21LB0120,School of Liberal Arts,Commerce and communications,1st Ed,2017,381.413510954 MEE,OUP India,New Delhi,9780199474640,750,10/25/2021 0:00,Book Paradise,"xxxiv, 383p."
